% Model,SiO2ring1900to2000_SiO2_height160nm.mph,
% Version,COMSOL 5.4.0.388,
% Date,"Sep 6 2019, 14:39",
% Table,Table 4 - ,
% dist,r,"Electric potential (V), Point: (0, 0)"
0.184,-0.08,0.140683165
0.184,-0.1,0.140688351
0.184,-0.12,0.140689751
0.184,-0.14,0.140689908
0.184,-0.16,0.140691893
0.184,-0.18,0.140697018
0.184,-0.2,0.140704352
0.184,-0.22,0.140710756
0.184,-0.24,0.140722795
0.184,-0.26,0.140738772
0.184,-0.28,0.140759747
0.184,-0.3,0.14078535
0.184,-0.32,0.140819308
0.184,-0.34,0.140860144
0.184,-0.36,0.140913041
0.184,-0.38,0.140970414
0.184,-0.4,0.141041682
0.184,-0.42,0.141121741
0.184,-0.44,0.141213954
0.184,-0.46,0.141314637
0.184,-0.48,0.1414237
0.184,-0.5,0.141538694
0.184,-0.52,0.141652567
0.184,-0.54,0.14177154
0.184,-0.56,0.141886978
0.184,-0.58,0.141996086
0.184,-0.6,0.142103351
0.184,-0.62,0.142204368
0.184,-0.64,0.142295836
0.184,-0.66,0.142380689
0.184,-0.68,0.142461911
0.184,-0.7,0.142532784
0.184,-0.72,0.142601943
0.184,-0.74,0.142662415
0.184,-0.76,0.142719953
0.184,-0.78,0.142772813
0.184,-0.8,0.142814947
0.184,-0.82,0.142860361
0.184,-0.84,0.142900157
0.184,-0.86,0.142935166
0.184,-0.88,0.142968635
0.184,-0.9,0.142999019
0.184,-0.92,0.14302433
0.184,-0.94,0.143053334
0.184,-0.96,0.143073582
0.184,-0.98,0.143095448
0.184,-1,0.143115375
0.184,-1.02,0.143134874
0.184,-1.04,0.143151728
0.184,-1.06,0.143166084
0.184,-1.08,0.14318055
0.184,-1.1,0.143194509
0.184,-1.12,0.143206757
0.184,-1.14,0.143216758
0.184,-1.16,0.143228191
0.184,-1.18,0.143240249
0.184,-1.2,0.143247937
0.184,-1.22,0.143255208
0.184,-1.24,0.143263747
0.184,-1.26,0.143271397
0.184,-1.28,0.143276523
0.184,-1.3,0.143279803
0.184,-1.32,0.143287025
0.184,-1.34,0.143291451
0.184,-1.36,0.143295556
0.184,-1.38,0.143299144
0.184,-1.4,0.143302862
0.184,-1.42,0.143304497
0.184,-1.44,0.143305067
0.184,-1.46,0.14330836
0.184,-1.48,0.143307091
0.184,-1.5,0.143308637
0.184,-1.52,0.143304931
0.184,-1.54,0.143304041
0.184,-1.56,0.14330271
0.184,-1.58,0.143295845
0.184,-1.6,0.143290606
0.184,-1.62,0.143282823
0.184,-1.64,0.143273114
0.184,-1.66,0.143258496
0.184,-1.68,0.143245861
0.184,-1.7,0.143226333
0.184,-1.72,0.143201104
0.184,-1.74,0.14317468
0.184,-1.76,0.143138883
0.184,-1.78,0.143095743
0.184,-1.8,0.143047629
0.184,-1.82,0.142989503
0.184,-1.84,0.142925601
0.184,-1.86,0.142859833
0.184,-1.88,0.142793993
0.184,-1.9,0.142738379
0.184,-1.92,0.142702094
0.184,-1.94,0.14268261
0.184,-1.96,0.142681908
0.184,-1.98,0.142710055
0.184,-2,0.142754991
0.184,-2.02,0.142813122
0.184,-2.04,0.142883282
0.186,0,0.140701769
0.186,-0.02,0.140702279
0.186,-0.04,0.140703623
0.186,-0.06,0.140709187
0.186,-0.08,0.140712932
0.186,-0.1,0.140717511
0.186,-0.12,0.140718536
0.186,-0.14,0.140721111
0.186,-0.16,0.140724999
0.186,-0.18,0.140728818
0.186,-0.2,0.140735409
0.186,-0.22,0.140743385
0.186,-0.24,0.140755418
0.186,-0.26,0.14077194
0.186,-0.28,0.140791436
0.186,-0.3,0.140817785
0.186,-0.32,0.140850817
0.186,-0.34,0.140891462
0.186,-0.36,0.140943415
0.186,-0.38,0.141003189
0.186,-0.4,0.141069627
0.186,-0.42,0.141152269
0.186,-0.44,0.141240255
0.186,-0.46,0.141341469
0.186,-0.48,0.141447267
0.186,-0.5,0.141558953
0.186,-0.52,0.141671055
0.186,-0.54,0.141788593
0.186,-0.56,0.14190074
0.186,-0.58,0.142009891
0.186,-0.6,0.142112296
0.186,-0.62,0.142213426
0.186,-0.64,0.142304623
0.186,-0.66,0.142388374
0.186,-0.68,0.142469712
0.186,-0.7,0.142538868
0.186,-0.72,0.142606269
0.186,-0.74,0.142665776
0.186,-0.76,0.142723581
0.186,-0.78,0.14277347
0.186,-0.8,0.142819713
0.186,-0.82,0.142861624
0.186,-0.84,0.142899763
0.186,-0.86,0.142935218
0.186,-0.88,0.142970421
0.186,-0.9,0.142999194
0.186,-0.92,0.143028396
0.186,-0.94,0.143051837
0.186,-0.96,0.14307633
0.186,-0.98,0.14309701
0.186,-1,0.143115544
0.186,-1.02,0.143136268
0.186,-1.04,0.143153087
0.186,-1.06,0.143167383
0.186,-1.08,0.143181138
0.186,-1.1,0.143197037
0.186,-1.12,0.143207296
0.186,-1.14,0.143216243
0.186,-1.16,0.143228698
0.186,-1.18,0.143239651
0.186,-1.2,0.143248153
0.186,-1.22,0.143255211
0.186,-1.24,0.143263752
0.186,-1.26,0.143269643
0.186,-1.28,0.143278572
0.186,-1.3,0.143283129
0.186,-1.32,0.143285228
0.186,-1.34,0.143290624
0.186,-1.36,0.143295133
0.186,-1.38,0.143299078
0.186,-1.4,0.143301781
0.186,-1.42,0.143304484
0.186,-1.44,0.143305959
0.186,-1.46,0.143306486
0.186,-1.48,0.143308479
0.186,-1.5,0.143308312
0.186,-1.52,0.143305058
0.186,-1.54,0.143303986
0.186,-1.56,0.143300763
0.186,-1.58,0.143296147
0.186,-1.6,0.143289705
0.186,-1.62,0.143285009
0.186,-1.64,0.143273056
0.186,-1.66,0.143262592
0.186,-1.68,0.143246184
0.186,-1.7,0.143227455
0.186,-1.72,0.143203364
0.186,-1.74,0.143176985
0.186,-1.76,0.14314231
0.186,-1.78,0.143103672
0.186,-1.8,0.14305468
0.186,-1.82,0.142998209
0.186,-1.84,0.142937091
0.186,-1.86,0.142874014
0.186,-1.88,0.142812812
0.186,-1.9,0.14276058
0.186,-1.92,0.142723975
0.186,-1.94,0.142702669
0.186,-1.96,0.142705257
0.186,-1.98,0.142729498
0.186,-2,0.142774171
0.186,-2.02,0.142831786
0.186,-2.04,0.14289531
0.188,0,0.140731859
0.188,-0.02,0.140733669
0.188,-0.04,0.140736739
0.188,-0.06,0.140740998
0.188,-0.08,0.140743023
0.188,-0.1,0.140747735
0.188,-0.12,0.14075221
0.188,-0.14,0.140754438
0.188,-0.16,0.140755179
0.188,-0.18,0.140760383
0.188,-0.2,0.140766028
0.188,-0.22,0.140774227
0.188,-0.24,0.140787471
0.188,-0.26,0.140803079
0.188,-0.28,0.140823941
0.188,-0.3,0.140850989
0.188,-0.32,0.140881895
0.188,-0.34,0.140923189
0.188,-0.36,0.140972765
0.188,-0.38,0.141030895
0.188,-0.4,0.14110105
0.188,-0.42,0.141177992
0.188,-0.44,0.141267368
0.188,-0.46,0.141364278
0.188,-0.48,0.141468642
0.188,-0.5,0.141578142
0.188,-0.52,0.141690784
0.188,-0.54,0.141804461
0.188,-0.56,0.141913681
0.188,-0.58,0.14202126
0.188,-0.6,0.14212535
0.188,-0.62,0.142222032
0.188,-0.64,0.142309702
0.188,-0.66,0.14239426
0.188,-0.68,0.142472953
0.188,-0.7,0.142545163
0.188,-0.72,0.142609803
0.188,-0.74,0.14267118
0.188,-0.76,0.142727732
0.188,-0.78,0.14277533
0.188,-0.8,0.142822106
0.188,-0.82,0.142863903
0.188,-0.84,0.142902168
0.188,-0.86,0.142939244
0.188,-0.88,0.142971138
0.188,-0.9,0.143000969
0.188,-0.92,0.143028603
0.188,-0.94,0.14305377
0.188,-0.96,0.143076203
0.188,-0.98,0.143098083
0.188,-1,0.143117417
0.188,-1.02,0.143136649
0.188,-1.04,0.143152167
0.188,-1.06,0.143166082
0.188,-1.08,0.143181216
0.188,-1.1,0.143195659
0.188,-1.12,0.143207806
0.188,-1.14,0.143221273
0.188,-1.16,0.143229554
0.188,-1.18,0.143239391
0.188,-1.2,0.143247774
0.188,-1.22,0.143256688
0.188,-1.24,0.143264153
0.188,-1.26,0.14326982
0.188,-1.28,0.143276236
0.188,-1.3,0.143280924
0.188,-1.32,0.143288024
0.188,-1.34,0.143292119
0.188,-1.36,0.143294025
0.188,-1.38,0.143300395
0.188,-1.4,0.143303991
0.188,-1.42,0.143306256
0.188,-1.44,0.143306857
0.188,-1.46,0.143307937
0.188,-1.48,0.143307722
0.188,-1.5,0.143307339
0.188,-1.52,0.143305745
0.188,-1.54,0.143305088
0.188,-1.56,0.143302177
0.188,-1.58,0.143297121
0.188,-1.6,0.143290842
0.188,-1.62,0.143284261
0.188,-1.64,0.143273205
0.188,-1.66,0.143263454
0.188,-1.68,0.14325005
0.188,-1.7,0.143229151
0.188,-1.72,0.143206603
0.188,-1.74,0.143180202
0.188,-1.76,0.143146198
0.188,-1.78,0.14310445
0.188,-1.8,0.143062009
0.188,-1.82,0.143007938
0.188,-1.84,0.142947312
0.188,-1.86,0.142888828
0.188,-1.88,0.142829338
0.188,-1.9,0.142778878
0.188,-1.92,0.142742699
0.188,-1.94,0.14272555
0.188,-1.96,0.142728911
0.188,-1.98,0.142750947
0.188,-2,0.142791371
0.188,-2.02,0.142846586
0.188,-2.04,0.142910406
0.19,0,0.140760749
0.19,-0.02,0.140764651
0.19,-0.04,0.140766718
0.19,-0.06,0.140768508
0.19,-0.08,0.140772361
0.19,-0.1,0.140778534
0.19,-0.12,0.140780604
0.19,-0.14,0.140783223
0.19,-0.16,0.140786744
0.19,-0.18,0.140790113
0.19,-0.2,0.140795975
0.19,-0.22,0.140807953
0.19,-0.24,0.140817769
0.19,-0.26,0.140833799
0.19,-0.28,0.140854086
0.19,-0.3,0.14088048
0.19,-0.32,0.140916108
0.19,-0.34,0.140954618
0.19,-0.36,0.141004673
0.19,-0.38,0.141060114
0.19,-0.4,0.141127945
0.19,-0.42,0.141205099
0.19,-0.44,0.141291722
0.19,-0.46,0.141389277
0.19,-0.48,0.141490841
0.19,-0.5,0.141599896
0.19,-0.52,0.141709368
0.19,-0.54,0.14182006
0.19,-0.56,0.141929022
0.19,-0.58,0.142033403
0.19,-0.6,0.142134777
0.19,-0.62,0.142230759
0.19,-0.64,0.142318993
0.19,-0.66,0.14240414
0.19,-0.68,0.142479428
0.19,-0.7,0.142549252
0.19,-0.72,0.142613979
0.19,-0.74,0.142673074
0.19,-0.76,0.142729053
0.19,-0.78,0.142778185
0.19,-0.8,0.142825587
0.19,-0.82,0.142867123
0.19,-0.84,0.142908153
0.19,-0.86,0.142939752
0.19,-0.88,0.14297294
0.19,-0.9,0.143001917
0.19,-0.92,0.143029694
0.19,-0.94,0.143055845
0.19,-0.96,0.14307845
0.19,-0.98,0.14309954
0.19,-1,0.14311682
0.19,-1.02,0.14313651
0.19,-1.04,0.143154139
0.19,-1.06,0.143168963
0.19,-1.08,0.143183773
0.19,-1.1,0.143194911
0.19,-1.12,0.143207841
0.19,-1.14,0.143219864
0.19,-1.16,0.143228826
0.19,-1.18,0.143239603
0.19,-1.2,0.143245999
0.19,-1.22,0.143254481
0.19,-1.24,0.143263377
0.19,-1.26,0.143271016
0.19,-1.28,0.143276885
0.19,-1.3,0.14328185
0.19,-1.32,0.143287075
0.19,-1.34,0.143294408
0.19,-1.36,0.143296366
0.19,-1.38,0.143300266
0.19,-1.4,0.143303346
0.19,-1.42,0.143306683
0.19,-1.44,0.143306207
0.19,-1.46,0.143307985
0.19,-1.48,0.143307498
0.19,-1.5,0.143306085
0.19,-1.52,0.143307709
0.19,-1.54,0.143304544
0.19,-1.56,0.14330371
0.19,-1.58,0.143298001
0.19,-1.6,0.143291818
0.19,-1.62,0.143284997
0.19,-1.64,0.143276011
0.19,-1.66,0.143262118
0.19,-1.68,0.14324843
0.19,-1.7,0.143231992
0.19,-1.72,0.143207605
0.19,-1.74,0.143181089
0.19,-1.76,0.143148631
0.19,-1.78,0.143112043
0.19,-1.8,0.143064473
0.19,-1.82,0.143014213
0.19,-1.84,0.142958784
0.19,-1.86,0.142901255
0.19,-1.88,0.142843629
0.19,-1.9,0.142799205
0.19,-1.92,0.142765003
0.19,-1.94,0.142745248
0.19,-1.96,0.14274886
0.19,-1.98,0.142771765
0.19,-2,0.142809315
0.19,-2.02,0.142861905
0.19,-2.04,0.142922075
0.192,0,0.140791064
0.192,-0.02,0.140795141
0.192,-0.04,0.140796382
0.192,-0.06,0.140797824
0.192,-0.08,0.140804079
0.192,-0.1,0.140807133
0.192,-0.12,0.140809812
0.192,-0.14,0.140814089
0.192,-0.16,0.140815598
0.192,-0.18,0.140819033
0.192,-0.2,0.140827954
0.192,-0.22,0.140835955
0.192,-0.24,0.14084766
0.192,-0.26,0.140864495
0.192,-0.28,0.140886831
0.192,-0.3,0.140911968
0.192,-0.32,0.140945181
0.192,-0.34,0.140985376
0.192,-0.36,0.141034663
0.192,-0.38,0.141089224
0.192,-0.4,0.141155879
0.192,-0.42,0.141232711
0.192,-0.44,0.141319093
0.192,-0.46,0.14141161
0.192,-0.48,0.141513155
0.192,-0.5,0.141620817
0.192,-0.52,0.141726272
0.192,-0.54,0.141837093
0.192,-0.56,0.141942076
0.192,-0.58,0.142044303
0.192,-0.6,0.142145202
0.192,-0.62,0.142240227
0.192,-0.64,0.14232734
0.192,-0.66,0.142409166
0.192,-0.68,0.142484227
0.192,-0.7,0.142556456
0.192,-0.72,0.142619687
0.192,-0.74,0.142677017
0.192,-0.76,0.142733597
0.192,-0.78,0.142782439
0.192,-0.8,0.142828355
0.192,-0.82,0.142870154
0.192,-0.84,0.142907405
0.192,-0.86,0.142943688
0.192,-0.88,0.142974276
0.192,-0.9,0.143004987
0.192,-0.92,0.143031404
0.192,-0.94,0.143056386
0.192,-0.96,0.143078676
0.192,-0.98,0.143100401
0.192,-1,0.143121023
0.192,-1.02,0.143138893
0.192,-1.04,0.143154086
0.192,-1.06,0.143170533
0.192,-1.08,0.143181815
0.192,-1.1,0.143197987
0.192,-1.12,0.143209199
0.192,-1.14,0.143220484
0.192,-1.16,0.143230411
0.192,-1.18,0.143238417
0.192,-1.2,0.143249424
0.192,-1.22,0.143255049
0.192,-1.24,0.143264744
0.192,-1.26,0.143270462
0.192,-1.28,0.143276512
0.192,-1.3,0.143283064
0.192,-1.32,0.143287347
0.192,-1.34,0.143293636
0.192,-1.36,0.14329609
0.192,-1.38,0.14330003
0.192,-1.4,0.143301676
0.192,-1.42,0.143305372
0.192,-1.44,0.143306558
0.192,-1.46,0.143308803
0.192,-1.48,0.143308424
0.192,-1.5,0.143309526
0.192,-1.52,0.143306767
0.192,-1.54,0.143304688
0.192,-1.56,0.143302425
0.192,-1.58,0.143299257
0.192,-1.6,0.143292687
0.192,-1.62,0.143285653
0.192,-1.64,0.143275605
0.192,-1.66,0.143265801
0.192,-1.68,0.143250134
0.192,-1.7,0.14323198
0.192,-1.72,0.143210783
0.192,-1.74,0.143185408
0.192,-1.76,0.143154638
0.192,-1.78,0.143114847
0.192,-1.8,0.143073694
0.192,-1.82,0.143023557
0.192,-1.84,0.142969328
0.192,-1.86,0.142911508
0.192,-1.88,0.142858577
0.192,-1.9,0.142815912
0.192,-1.92,0.142782405
0.192,-1.94,0.142767541
0.192,-1.96,0.142769718
0.192,-1.98,0.142789316
0.192,-2,0.14282779
0.192,-2.02,0.142876024
0.192,-2.04,0.142935013
0.194,0,0.140821235
0.194,-0.02,0.140823207
0.194,-0.04,0.140824504
0.194,-0.06,0.140829084
0.194,-0.08,0.140832147
0.194,-0.1,0.140836477
0.194,-0.12,0.140839874
0.194,-0.14,0.140840773
0.194,-0.16,0.140846
0.194,-0.18,0.140850586
0.194,-0.2,0.140855807
0.194,-0.22,0.140865331
0.194,-0.24,0.140877499
0.194,-0.26,0.140895213
0.194,-0.28,0.140914926
0.194,-0.3,0.14094469
0.194,-0.32,0.140973738
0.194,-0.34,0.141013405
0.194,-0.36,0.14106301
0.194,-0.38,0.141118499
0.194,-0.4,0.1411828
0.194,-0.42,0.1412621
0.194,-0.44,0.141342779
0.194,-0.46,0.141434408
0.194,-0.48,0.141535556
0.194,-0.5,0.141638575
0.194,-0.52,0.141744621
0.194,-0.54,0.141851936
0.194,-0.56,0.141956069
0.194,-0.58,0.14205926
0.194,-0.6,0.142157112
0.194,-0.62,0.142249603
0.194,-0.64,0.142335459
0.194,-0.66,0.142416094
0.194,-0.68,0.142491087
0.194,-0.7,0.14255816
0.194,-0.72,0.142624225
0.194,-0.74,0.142682649
0.194,-0.76,0.142736035
0.194,-0.78,0.142785111
0.194,-0.8,0.142833427
0.194,-0.82,0.142869892
0.194,-0.84,0.142907683
0.194,-0.86,0.142944115
0.194,-0.88,0.142974687
0.194,-0.9,0.143005345
0.194,-0.92,0.143032033
0.194,-0.94,0.143056573
0.194,-0.96,0.14308049
0.194,-0.98,0.143097666
0.194,-1,0.14311983
0.194,-1.02,0.143137417
0.194,-1.04,0.143154711
0.194,-1.06,0.143169576
0.194,-1.08,0.14318366
0.194,-1.1,0.143196562
0.194,-1.12,0.143210346
0.194,-1.14,0.143220964
0.194,-1.16,0.143231589
0.194,-1.18,0.143241577
0.194,-1.2,0.143248243
0.194,-1.22,0.143257268
0.194,-1.24,0.143264336
0.194,-1.26,0.143270117
0.194,-1.28,0.143276878
0.194,-1.3,0.14328277
0.194,-1.32,0.143288503
0.194,-1.34,0.143293794
0.194,-1.36,0.143296724
0.194,-1.38,0.143301144
0.194,-1.4,0.143304095
0.194,-1.42,0.143304312
0.194,-1.44,0.143308272
0.194,-1.46,0.143309094
0.194,-1.48,0.14330757
0.194,-1.5,0.143309907
0.194,-1.52,0.143308349
0.194,-1.54,0.143304955
0.194,-1.56,0.143303519
0.194,-1.58,0.143297255
0.194,-1.6,0.143294568
0.194,-1.62,0.143286656
0.194,-1.64,0.143275284
0.194,-1.66,0.143265363
0.194,-1.68,0.143251005
0.194,-1.7,0.143234703
0.194,-1.72,0.143211525
0.194,-1.74,0.143186597
0.194,-1.76,0.143156187
0.194,-1.78,0.143118798
0.194,-1.8,0.143078178
0.194,-1.82,0.143029251
0.194,-1.84,0.142977462
0.194,-1.86,0.142925235
0.194,-1.88,0.14287465
0.194,-1.9,0.142833735
0.194,-1.92,0.142801291
0.194,-1.94,0.142788626
0.194,-1.96,0.142791307
0.194,-1.98,0.142809069
0.194,-2,0.142845446
0.194,-2.02,0.142892498
0.194,-2.04,0.142946383
0.196,0,0.140851081
0.196,-0.02,0.140851162
0.196,-0.04,0.140852941
0.196,-0.06,0.14085673
0.196,-0.08,0.140861584
0.196,-0.1,0.140865522
0.196,-0.12,0.140866386
0.196,-0.14,0.14087002
0.196,-0.16,0.140874059
0.196,-0.18,0.140878378
0.196,-0.2,0.140885893
0.196,-0.22,0.140894117
0.196,-0.24,0.140908366
0.196,-0.26,0.140923866
0.196,-0.28,0.140945041
0.196,-0.3,0.140972551
0.196,-0.32,0.141003621
0.196,-0.34,0.141043821
0.196,-0.36,0.141091053
0.196,-0.38,0.141144937
0.196,-0.4,0.1412111
0.196,-0.42,0.141286631
0.196,-0.44,0.141367753
0.196,-0.46,0.1414584
0.196,-0.48,0.141555891
0.196,-0.5,0.141654894
0.196,-0.52,0.1417612
0.196,-0.54,0.141867624
0.196,-0.56,0.141969212
0.196,-0.58,0.14207075
0.196,-0.6,0.142167665
0.196,-0.62,0.142258126
0.196,-0.64,0.142341658
0.196,-0.66,0.142421992
0.196,-0.68,0.142496981
0.196,-0.7,0.142565896
0.196,-0.72,0.14262858
0.196,-0.74,0.142685521
0.196,-0.76,0.142738213
0.196,-0.78,0.142786903
0.196,-0.8,0.142832923
0.196,-0.82,0.142874703
0.196,-0.84,0.142911951
0.196,-0.86,0.142944759
0.196,-0.88,0.142977094
0.196,-0.9,0.143008843
0.196,-0.92,0.143032939
0.196,-0.94,0.143057934
0.196,-0.96,0.14308237
0.196,-0.98,0.143102583
0.196,-1,0.143121616
0.196,-1.02,0.143137056
0.196,-1.04,0.143153895
0.196,-1.06,0.143171334
0.196,-1.08,0.143185188
0.196,-1.1,0.14319847
0.196,-1.12,0.143209817
0.196,-1.14,0.143220372
0.196,-1.16,0.143228211
0.196,-1.18,0.143241336
0.196,-1.2,0.143247923
0.196,-1.22,0.143257373
0.196,-1.24,0.143264739
0.196,-1.26,0.143273243
0.196,-1.28,0.143276881
0.196,-1.3,0.143284168
0.196,-1.32,0.14328874
0.196,-1.34,0.143294683
0.196,-1.36,0.143298401
0.196,-1.38,0.143303083
0.196,-1.4,0.143303179
0.196,-1.42,0.143304984
0.196,-1.44,0.14330799
0.196,-1.46,0.143309182
0.196,-1.48,0.143310261
0.196,-1.5,0.143308345
0.196,-1.52,0.143307485
0.196,-1.54,0.143306831
0.196,-1.56,0.143302312
0.196,-1.58,0.143300119
0.196,-1.6,0.14329372
0.196,-1.62,0.14328506
0.196,-1.64,0.143277535
0.196,-1.66,0.143266942
0.196,-1.68,0.143255273
0.196,-1.7,0.143235193
0.196,-1.72,0.143214735
0.196,-1.74,0.143190918
0.196,-1.76,0.143159411
0.196,-1.78,0.14312549
0.196,-1.8,0.143084572
0.196,-1.82,0.143037337
0.196,-1.84,0.142988387
0.196,-1.86,0.142935911
0.196,-1.88,0.142892129
0.196,-1.9,0.142848689
0.196,-1.92,0.142820035
0.196,-1.94,0.142806555
0.196,-1.96,0.142809265
0.196,-1.98,0.142827472
0.196,-2,0.142862137
0.196,-2.02,0.142905169
0.196,-2.04,0.142958356
0.198,0,0.140878468
0.198,-0.02,0.140877431
0.198,-0.04,0.140881786
0.198,-0.06,0.140886712
0.198,-0.08,0.140890137
0.198,-0.1,0.14089211
0.198,-0.12,0.140894331
0.198,-0.14,0.140899163
0.198,-0.16,0.140901931
0.198,-0.18,0.140905824
0.198,-0.2,0.140912851
0.198,-0.22,0.140922939
0.198,-0.24,0.140936179
0.198,-0.26,0.140952274
0.198,-0.28,0.140974605
0.198,-0.3,0.141000871
0.198,-0.32,0.141033114
0.198,-0.34,0.14107282
0.198,-0.36,0.141119447
0.198,-0.38,0.141174159
0.198,-0.4,0.141238094
0.198,-0.42,0.141310473
0.198,-0.44,0.141392771
0.198,-0.46,0.141479344
0.198,-0.48,0.141575938
0.198,-0.5,0.141676539
0.198,-0.52,0.141778798
0.198,-0.54,0.141884776
0.198,-0.56,0.141983342
0.198,-0.58,0.142081267
0.198,-0.6,0.142176759
0.198,-0.62,0.142266434
0.198,-0.64,0.142350209
0.198,-0.66,0.142429894
0.198,-0.68,0.142502086
0.198,-0.7,0.14256896
0.198,-0.72,0.142633285
0.198,-0.74,0.142690394
0.198,-0.76,0.142742526
0.198,-0.78,0.142789442
0.198,-0.8,0.142836753
0.198,-0.82,0.142874675
0.198,-0.84,0.142913869
0.198,-0.86,0.142947225
0.198,-0.88,0.142979489
0.198,-0.9,0.143007882
0.198,-0.92,0.143034183
0.198,-0.94,0.143058787
0.198,-0.96,0.143082341
0.198,-0.98,0.1431033
0.198,-1,0.143120607
0.198,-1.02,0.143139252
0.198,-1.04,0.143156649
0.198,-1.06,0.143171192
0.198,-1.08,0.143184708
0.198,-1.1,0.14319775
0.198,-1.12,0.143208589
0.198,-1.14,0.143220199
0.198,-1.16,0.143232539
0.198,-1.18,0.143241206
0.198,-1.2,0.143250613
0.198,-1.22,0.143257782
0.198,-1.24,0.143264514
0.198,-1.26,0.143273549
0.198,-1.28,0.143277857
0.198,-1.3,0.143281798
0.198,-1.32,0.143289035
0.198,-1.34,0.143294629
0.198,-1.36,0.143295272
0.198,-1.38,0.143298893
0.198,-1.4,0.143301992
0.198,-1.42,0.143304919
0.198,-1.44,0.143307987
0.198,-1.46,0.143308525
0.198,-1.48,0.14330888
0.198,-1.5,0.143310288
0.198,-1.52,0.143308152
0.198,-1.54,0.143308624
0.198,-1.56,0.143301344
0.198,-1.58,0.143299177
0.198,-1.6,0.143295792
0.198,-1.62,0.14328696
0.198,-1.64,0.143278011
0.198,-1.66,0.143265876
0.198,-1.68,0.143252268
0.198,-1.7,0.14323706
0.198,-1.72,0.143216819
0.198,-1.74,0.143192626
0.198,-1.76,0.143161815
0.198,-1.78,0.143127995
0.198,-1.8,0.143089374
0.198,-1.82,0.143045716
0.198,-1.84,0.14299646
0.198,-1.86,0.142948522
0.198,-1.88,0.14290546
0.198,-1.9,0.142863237
0.198,-1.92,0.142836903
0.198,-1.94,0.142824221
0.198,-1.96,0.142827895
0.198,-1.98,0.142843875
0.198,-2,0.142876303
0.198,-2.02,0.142918257
0.198,-2.04,0.142970258
0.2,0,0.140907415
0.2,-0.02,0.140908107
0.2,-0.04,0.140910311
0.2,-0.06,0.140914786
0.2,-0.08,0.140916796
0.2,-0.1,0.140920283
0.2,-0.12,0.140924131
0.2,-0.14,0.140927346
0.2,-0.16,0.140929983
0.2,-0.18,0.140936166
0.2,-0.2,0.14094336
0.2,-0.22,0.140951302
0.2,-0.24,0.140965498
0.2,-0.26,0.140981546
0.2,-0.28,0.141003222
0.2,-0.3,0.141029356
0.2,-0.32,0.141060695
0.2,-0.34,0.141099782
0.2,-0.36,0.141145983
0.2,-0.38,0.141203135
0.2,-0.4,0.14126362
0.2,-0.42,0.141336072
0.2,-0.44,0.141415686
0.2,-0.46,0.14150412
0.2,-0.48,0.141597624
0.2,-0.5,0.141696078
0.2,-0.52,0.141794442
0.2,-0.54,0.141896535
0.2,-0.56,0.141996567
0.2,-0.58,0.142093464
0.2,-0.6,0.142184292
0.2,-0.62,0.14227546
0.2,-0.64,0.142357291
0.2,-0.66,0.142434699
0.2,-0.68,0.142509595
0.2,-0.7,0.142575062
0.2,-0.72,0.142636915
0.2,-0.74,0.142693417
0.2,-0.76,0.142745238
0.2,-0.78,0.142793721
0.2,-0.8,0.142837296
0.2,-0.82,0.142879544
0.2,-0.84,0.142915231
0.2,-0.86,0.142948847
0.2,-0.88,0.142979853
0.2,-0.9,0.14300962
0.2,-0.92,0.143035514
0.2,-0.94,0.143060596
0.2,-0.96,0.143083591
0.2,-0.98,0.143102355
0.2,-1,0.143123001
0.2,-1.02,0.143140684
0.2,-1.04,0.143156929
0.2,-1.06,0.143172092
0.2,-1.08,0.14318545
0.2,-1.1,0.143199357
0.2,-1.12,0.143209888
0.2,-1.14,0.143220135
0.2,-1.16,0.143230543
0.2,-1.18,0.143241304
0.2,-1.2,0.143249463
0.2,-1.22,0.143256431
0.2,-1.24,0.143266672
0.2,-1.26,0.14327186
0.2,-1.28,0.14327881
0.2,-1.3,0.143285147
0.2,-1.32,0.143289236
0.2,-1.34,0.143293792
0.2,-1.36,0.143298168
0.2,-1.38,0.143301369
0.2,-1.4,0.143305396
0.2,-1.42,0.143307058
0.2,-1.44,0.143306923
0.2,-1.46,0.143308498
0.2,-1.48,0.143311772
0.2,-1.5,0.143310125
0.2,-1.52,0.14330964
0.2,-1.54,0.143307106
0.2,-1.56,0.143302154
0.2,-1.58,0.143299757
0.2,-1.6,0.143294154
0.2,-1.62,0.143288692
0.2,-1.64,0.143278607
0.2,-1.66,0.143267352
0.2,-1.68,0.143254784
0.2,-1.7,0.143238727
0.2,-1.72,0.143220205
0.2,-1.74,0.143195349
0.2,-1.76,0.143166003
0.2,-1.78,0.143131277
0.2,-1.8,0.143092496
0.2,-1.82,0.143051901
0.2,-1.84,0.143005063
0.2,-1.86,0.142960115
0.2,-1.88,0.142915761
0.2,-1.9,0.142878796
0.2,-1.92,0.142854226
0.2,-1.94,0.14284129
0.2,-1.96,0.142841524
0.2,-1.98,0.142862806
0.2,-2,0.14289158
0.2,-2.02,0.142932869
0.2,-2.04,0.142980563
0.202,0,0.140934776
0.202,-0.02,0.140935402
0.202,-0.04,0.14093712
0.202,-0.06,0.140940077
0.202,-0.08,0.140943885
0.202,-0.1,0.140947325
0.202,-0.12,0.140950635
